,구별,구면적,공원총면적,공원수,위도,경도
0,종로구,23910000.0,3907680.57,12,37.579167,126.98307883333332
1,중구,9960000.0,2969094.4000000004,5,37.55702172,126.98086056
2,용산구,21870000.0,247194.1,2,37.5334596,126.97195015
3,성동구,16860000.0,145844.7,4,37.549813825,127.0279389
4,광진구,17060000.0,584002.0,2,37.5500453,127.0908025
5,동대문구,14220000.0,458663.7,4,37.57550884999999,127.05380027499999
6,중랑구,18500000.0,7078975.0,6,37.589865100000004,127.09998163333334
7,성북구,24570000.0,1198327.0,3,37.5985971,127.02784813333334
8,강북구,23600000.0,3714902.4,4,37.64147885,127.01951732500001
9,도봉구,20660000.0,1084218.0,6,37.657339549999996,127.04145103333333
10,노원구,35440000.0,12235699.3,3,37.65694923333333,127.0754596
11,은평구,29710000.0,2987442.791,7,37.62029965714286,126.91798849999999
12,서대문구,17630000.0,3321476.6,4,37.577643675000004,126.9383913
13,마포구,23850000.0,2685112.6999999997,5,37.56234814,126.90347747999999
14,양천구,17410000.0,1203428.5,5,37.52458646,126.86177932000001
15,강서구,41440000.0,2194154.1,9,37.56585725555556,126.84021808888889
16,구로구,20120000.0,1721011.0,4,37.493860049999995,126.840513625
17,금천구,13020000.0,37918.0,3,37.4615186,126.9069424
18,영등포구,24550000.0,424446.0,5,37.524237,126.91560994000001
19,동작구,16350000.000000002,3706739.0999999996,7,37.495863157142864,126.95383381428573
20,관악구,29570000.0,10431453.08,2,37.46555825,126.941995
21,서초구,46980000.0,9667181.0,5,37.4710106,127.04361294
22,강남구,39500000.0,3626398.5,7,37.48918247142858,127.04608248571428
23,송파구,33870000.0,2619825.8,6,37.50080928333333,127.11903196666667
24,강동구,24590000.0,1526389.3,7,37.54562122857143,127.15159542857143
